V is  0.100375 	F is  0.2509990625 	C is  0.5 	m is  0.000501875
V is  0.100750904846 	F is  0.251991183361 	C is  0.5 	m is  0.00100312014923
V is  0.101127717671 	F is  0.252976394512 	C is  0.5 	m is  0.00150374313684
V is  0.101505441632 	F is  0.253954727733 	C is  0.5 	m is  0.00200375162931
V is  0.101884079907 	F is  0.254926214656 	C is  0.5 	m is  0.0025031532707
V is  0.102263635692 	F is  0.255890886767 	C is  0.5 	m is  0.00300195568281
V is  0.102644112208 	F is  0.256848775405 	C is  0.5 	m is  0.00350016646544
V is  0.103025512697 	F is  0.25779991176 	C is  0.5 	m is  0.00399779319659
V is  0.10340784042 	F is  0.25874432688 	C is  0.5 	m is  0.00449484343271
V is  0.103791098662 	F is  0.259682051666 	C is  0.5 	m is  0.00499132470885
V is  0.104175290728 	F is  0.260613116875 	C is  0.500125 	m is  0.00548724453895
V is  0.104560419945 	F is  0.261538178121 	C is  0.500250345154 	m is  0.00598261041598
V is  0.104946489336 	F is  0.26245726382 	C is  0.500376035127 	m is  0.00647742981058
V is  0.105333501941 	F is  0.26337040225 	C is  0.500502069579 	m is  0.00697171017123
V is  0.105721460817 	F is  0.26427762155 	C is  0.500628448165 	m is  0.00746545892446
V is  0.10611036904 	F is  0.265178949723 	C is  0.500755170538 	m is  0.00795868347503
V is  0.106500229704 	F is  0.266074414637 	C is  0.500882236348 	m is  0.00845139120618
V is  0.106891045921 	F is  0.266964044021 	C is  0.501009645238 	m is  0.00894358947975
V is  0.107282820821 	F is  0.26784786547 	C is  0.501137396853 	m is  0.00943528563646
V is  0.107675557552 	F is  0.268725906444 	C is  0.501265490829 	m is  0.00992648699604
V is  0.108069259281 	F is  0.269598194269 	C is  0.501393926802 	m is  0.0104172008575
V is  0.108463929192 	F is  0.270464756138 	C is  0.501522704404 	m is  0.0109074344991
V is  0.108859570487 	F is  0.271325619107 	C is  0.501651823591 	m is  0.0113971951791
V is  0.109256186388 	F is  0.272180810105 	C is  0.501781284315 	m is  0.0118864901351
V is  0.109653780133 	F is  0.273030355929 	C is  0.501911086527 	m is  0.0123753265851
